episode,avg_eps_reward,step,act_loss,crit_loss
0,2.77113750615741,999,0.0,0.0
1,2.7913288052804255,999,0.0,0.0
2,2.757493774000858,999,0.0,0.0
3,2.7304148343593657,999,0.0,0.0
4,2.7551005496798764,999,0.0,0.0
5,2.7503900433411927,999,0.0,0.0
6,1.7050977531233558,242,0.0,0.0
7,2.6621015732066104,999,0.0,0.0
8,2.7097659583593803,999,0.0,0.0
9,2.769377370145306,999,0.0,0.0
10,2.78785218547377,999,0.0,0.0
11,2.82882387199872,999,0.0,0.0
12,2.794396012529884,999,0.0,0.0
13,2.7873430163887027,999,0.0,0.0
14,2.738894973496653,999,0.0,0.0
15,2.6979487862572924,999,0.0,0.0
16,2.7952311712700686,999,0.0,0.0
17,1.5473195076015034,95,0.0,0.0
18,2.785502474641545,999,0.0,0.0
19,2.7541222477095992,999,0.0,0.0
20,1.7690601003108888,199,0.0,0.0
21,2.676688636258167,999,0.0,0.0
22,2.748897766208485,999,0.0,0.0
23,2.855215033387201,999,0.0,0.0
24,2.8003581009412253,999,0.0,0.0
25,2.794978537973663,999,0.0,0.0
26,2.8288663401197054,999,0.0,0.0
27,2.7197253323145367,999,0.0,0.0
28,2.749414255477289,999,0.0,0.0
29,2.7824188817758118,999,0.0,0.0
30,2.7605120686954745,999,0.0,0.0
31,2.7922986177623974,999,0.0,0.0
32,2.7755822040983795,999,0.08835212886333466,47.286258697509766
33,2.300517972207228,500,0.08472383767366409,47.171417236328125
34,2.7979775357287893,999,0.07227032631635666,47.08327102661133
35,2.776093701946703,999,0.05979015678167343,47.16709518432617
36,2.775403766331346,999,0.08577165007591248,46.91565704345703
37,2.7859324898627396,999,0.07327114045619965,47.06221008300781
38,2.8200452574473363,999,0.06754381954669952,47.06089401245117
39,2.7403509323487283,999,0.07775268703699112,47.02423095703125
40,2.763460122634169,999,0.05687042325735092,47.18032455444336
41,2.768231774550814,999,0.07154176384210587,47.06578063964844
42,2.725343915464184,999,0.044803496450185776,47.09989547729492
43,2.792306367746525,999,0.058798760175704956,46.91965103149414
44,2.066920607216359,408,0.06887700408697128,46.6611442565918
45,2.7758209505457225,999,0.035987477749586105,46.81934356689453
46,1.7474228853386093,219,0.04541844129562378,46.52418899536133
47,2.7044387067601185,999,0.041640885174274445,46.51531219482422
48,2.268158273676999,528,0.06816425174474716,46.0264892578125
49,2.796383975736408,999,0.06395626068115234,46.14344787597656
50,2.7338198520085273,999,0.059562213718891144,46.137630462646484
51,2.743234640037979,999,0.0526663213968277,46.157073974609375
52,2.667739718067668,999,0.05002499744296074,46.05484390258789
53,2.764614220545577,999,0.03681381791830063,46.305782318115234
54,2.743836795268738,999,0.02134343981742859,46.35360336303711
55,2.744896723843733,999,0.039673104882240295,46.12264633178711
